track_id,track_name,artists,album_name,track_genre,explicit
5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,Comedy,acoustic,False
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ben Woodward,Ghost (Acoustic),acoustic,False
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,Ingrid Michaelson;ZAYN,To Begin Again,acoustic,False
6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),acoustic,False
5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,Hold On,acoustic,False
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Tyrone Wells,Days I Will Remember,acoustic,False
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There?,acoustic,False
1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,acoustic,False
0IktbUcnAGrvD03AWnz3Q8,Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,acoustic,False
7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,Hunger,acoustic,False
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,Episode,acoustic,False
5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,Jason Mraz,Love Is a Four Letter Word,acoustic,False
4ptDJbJl35d7gQfeNteBwp,Solo,Dan Berk,Solo,acoustic,False
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Anna Hamilton,Bad Liar,acoustic,False
4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,Chord Overstreet;Deepend,Hold On (Remix),acoustic,False
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,Landon Pigg,The Boy Who Never,acoustic,False
6xKeQgzfjixSUld14qUezm,ily (i love you baby),Andrew Foy;Renee Foy,ily (i love you baby),acoustic,False
4Yo0igmcoNyat1secaH0OD,At My Worst,Andrew Foy;Renee Foy,At My Worst,acoustic,False
2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,acoustic,False
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",acoustic,False
3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,acoustic,False
210JCw2LbYD4YIs8GiZ9iP,Demons,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",acoustic,False
5TvE3pk05pyFIGdSY9j4DJ,Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,acoustic,False
0BUuuEvNa5T4lMaewyiudB,93 Million Miles,Jason Mraz,Coffee Moment,acoustic,False
3Hn3LfhrQOaKihdCibJsTs,Unlonely,Jason Mraz,Human - Best Adult Pop Tunes,acoustic,False
6D33wCKzWtNEgOovgeVJ7r,Bella Luna,Jason Mraz,Mellow Adult Pop,acoustic,False
5IfCZDRXZrqZSm8AwE44PG,Winter Wonderland,Jason Mraz,Holly Jolly Christmas,acoustic,False
0dzKBptH2P5j5a0MifBMwM,If It Kills Me,Jason Mraz,Feeling Good - Adult Pop Favorites,acoustic,False
5QAMZTM5cmLg3fHX9ZbTZi,Winter Wonderland,Jason Mraz,Christmas Time,acoustic,False
2qESE1ZeWly7I3YjyTXmXh,Winter Wonderland,Jason Mraz,Perfect Christmas Hits,acoustic,False
3EQV1ZHtHvq9OnVRYIdbg3,Winter Wonderland,Jason Mraz,Merry Christmas,acoustic,False
3ax0rfGb7exLtl02LL08U9,Winter Wonderland,Jason Mraz,Christmas Music - Holiday Hits,acoustic,False
1m5LC29RE52Bxy7hxvpOlL,All I Want For Christmas Is A Real Good Tan,Chord Overstreet,Christmas Country Songs 2022,acoustic,False
3H36x7buZdQD4687VmFrwY,Party of One,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,acoustic,False
0xbMRcMFqxJq1Wa7tvWPtn,Party of One,Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,acoustic,False
6h061f44HZPj1OXO2nA45d,Party of One,Brandi Carlile;Sam Smith,Mellow Bars R'n'B,acoustic,False
62EwQLDw0dprDzuLwQ0sH1,Lonely This Christmas,KT Tunstall,Chill Christmas Dinner,acoustic,False
3lvo0I8c2qBJDLZWqExDgC,Throwing Good After Bad,Brandi Carlile,rainy day indie,acoustic,False
1ae8XfBQ3fDEvmBjFaemGV,This Time Tomorrow,Brandi Carlile,Coffee Moment,acoustic,False
0adVktNVJXPZfhQe6B1NO5,Lonely This Christmas,KT Tunstall,sadsadchristmas,acoustic,False
6sp6Vx3sv2l5qxPfbQkcyt,The Haves,Eddie Vedder,Mega Hits Autumn/Fall 2022,acoustic,False
1WFVfVjCtbmdIv7j3Fa9iy,When You're Wrong,Brandi Carlile,Mellow Adult Pop,acoustic,False
0e5PAxSyZ5DWWVqKANHETz,You and Me on the Rock,Brandi Carlile;Lucius,Country Car Hits,acoustic,False
1MLr9b1fOybO3MGiLy47Ys,You and Me on the Rock,Brandi Carlile;Lucius,Country Road Songs,acoustic,False
