track_id,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
5SuOikwiRyPMVoIQDJUgSV,73,230666,0.676,0.461,-6.746,0.143,0.0322,0.358,0.715,87.917
4qPNDBW1i3p13qLCt0Ki3A,55,149610,0.42,0.166,-17.235,0.0763,0.924,0.101,0.267,77.489
1iJBSr7s7jYXzM8EGcbK5b,57,210826,0.438,0.359,-9.734,0.0557,0.21,0.117,0.12,76.332
6lfxq3CG4xtTiEg7opyCyx,71,201933,0.266,0.0596,-18.515,0.0363,0.905,0.132,0.143,181.74
5vjLSffimiIP26QG5WcN2K,82,198853,0.618,0.443,-9.681,0.0526,0.469,0.0829,0.167,119.949
01MVOl9KtVTNfFiBU9I7dc,58,214240,0.688,0.481,-8.807,0.105,0.289,0.189,0.666,98.017
6Vc5wAMmXdKIAM7WUoEb7N,74,229400,0.407,0.147,-8.822,0.0355,0.857,0.0913,0.0765,141.284
1EzrEOXmMH3G43AXT1y7pA,80,242946,0.703,0.444,-9.331,0.0417,0.559,0.0973,0.712,150.96
0IktbUcnAGrvD03AWnz3Q8,74,189613,0.625,0.414,-8.7,0.0369,0.294,0.151,0.669,130.088
7k9GuJYLp2AzqokyEdwEw2,56,205594,0.442,0.632,-6.77,0.0295,0.426,0.0735,0.196,78.899
4mzP5mHkRvGxdhdGdAH7EJ,74,244800,0.627,0.363,-8.127,0.0291,0.279,0.0928,0.301,99.905
5ivF4eQBqJiVL5IAE9jRyl,69,240165,0.483,0.303,-10.058,0.0429,0.694,0.115,0.139,133.406
4ptDJbJl35d7gQfeNteBwp,52,198712,0.489,0.314,-9.245,0.0331,0.749,0.113,0.607,124.234
0X9MxHR1rTkEHDjp95F2OO,62,248448,0.691,0.234,-6.441,0.0285,0.777,0.12,0.209,87.103
4LbWtBkN82ZRhz9jqzgrb3,56,188133,0.755,0.78,-6.084,0.0327,0.124,0.121,0.387,120.004
